PMC_ID	PMC_Year	Journal	IF	Article Title	Type of paper	Secondary analysis	Data availability statement (yes/no)	Data availability with explaination(yes/no)	Data availability (yes/no)	"If Data availability = yes, where do they share data? (SRA/GEO/other)"	"If other database, specifiy which one"	Code availability statement (Yes/No)	Code availability (Yes/No (reason))	Code availability (Yes/No)	Reproducibility	"If Code availability = yes,  What kind of code do they share?"	"If Code availability = yes, where do they share code (supplementary/ GitHub/ other)"	"If Code availability = yes, do they share the code as notebook or R markdown file (.Rmd)? (yes/no)"	"If yes, notebook/Rmd"	"If yes, single/ multiple"	Summary data (yes/ no/ partial)	Number of citations	Gender of the PI	"Experience of PI/ Last author (Check their profile or webpage to see whether they are an associate/ assistant/ professor/ professor emiretus, etc)"	PI/ last author's training background - CS/ Bioinformatics/ Other	PI (last author's) education level - PhD/PostDoc/ Master's etc	First author's education level	First author's training background (CS/ Bioinformatics/ Other)
PMC6093211	2018	Nat_Biotechnol	32	ED SUM: Signaling by the neurotransmitter acetylcholine is monitored in cells and animals with a sensitive reporter. 	Research article	no	yes	yes	yes	other	Addgene	no	no	no								0	Male	Professor	Other	Phd	Phd	Other
PMC6126964	2018	Nat_Biotechnol	32	Diseases caused by different mutations in the two alleles of a gene are treated in mice by Cas-9-induced allelic exchange. 	Research article	no	yes	yes	yes	SRA		no	no	no								0	Male	Professor	Other	Postdoc	Phd	"Other, Genetics"
PMC5990468	2018	Nat_Biotechnol	32	High-throughput creation and functional profiling of DNA sequence variant libraries using CRISPR/Cas9 in yeast 	Research article	no	yes	yes	yes	SRA		yes	no (Available upon request)	no								63	Male	Professor	Other	Phd	Phd	
PMC5942543	2018	Nat_Biotechnol	32	Simultaneous lineage tracing and cell-type identification using CRISPR/Cas9-induced genetic scars 	Research article	no	yes	yes	yes	GEO		yes	no (Link expired)	no								335	Male	Group Leader	Other	Postdoc	Phd	Bioinformatics
PMC6168378	2018	Nat_Genet	25.5	Genome-wide association analyses identify 39 new susceptibility loci for diverticular disease	Research article	no	yes	yes	yes	other	UK Biobank	no	no	no								74	Female	Professor	Other	"MD,Phd"	MD	Other
PMC5984618	2018	Nat_Genet	25.5	The Rosa genome provides new insights into the domestication of modern roses	Research article	no	yes	yes	yes	other	DDBJ/ENA/GenBank	no	no	no								256	Male	Research Director	Other	Postdoc		
PMC5934307	2018	Nat_Genet	25.5	Discordant inheritance of chromosomal and extrachromosomal DNA elements contributes to dynamic disease evolution in glioblastoma	Research article	no	yes	yes	yes	other	EGA	no	no	no								170	Male	Professor	Other	Postdoc	Postdoc	Other
PMC6521726	2018	Nat_Genet	25.5	"Genetics of Blood Lipids Among ~300,000 Multi-Ethnic Participants of the Million Veteran Program"	Research article	no	yes	yes	yes	other	dbGaP	no	no	no								394	Male	Associate Professor	"Other, Biostatistics"	"MD, Phd"	MD	Other
PMC6677388	2018	Nat_Methods	28.5	Reliability of human 3D cortical organoid generation	Research article	no	yes	yes	yes	GEO		no	no	no								230	Male	Associate Professor	Other	Postdoc	Postdoc	"Other, Genetics"
PMC6009585	2018	Nucleic_Acids_Res	11.2	The longevity SNP rs2802292 uncovered: HSF1 activates stress-dependent expression of FOXO3 through an intronic enhancer	Research article	no	no	no	no			no	no	no								53	Male	Associate Professor	Other	"MD, Phd"	Phd	Other
PMC5861426	2018	Nucleic_Acids_Res	11.2	Characterization of DNA ADP-ribosyltransferase activities of PARP2 and PARP3: new insights into DNA ADP-ribosylation	Research article	no	no	yes	yes			no	no	no								81					Phd	Other
PMC6182162	2018	Nucleic_Acids_Res	11.2	NAD+-dependent synthesis of a 5′-phospho-ADP-ribosylated RNA/DNA cap by RNA 2′-phosphotransferase Tpt1	Research article	no	no	no	no			no	no	no								25	Male	Professor	Other	"MD, Phd"	Phd	Other
PMC5961129	2018	Nucleic_Acids_Res	11.2	Expanding RNA binding specificity and affinity of engineered PUF domains	Research article	no	yes	yes	yes	other	Protein Data Bank	no	no	no								33	Male	Professor	Other	Postdoc		
PMC6212713	2018	Nucleic_Acids_Res	11.2	Schizosaccharomyces pombe Pol II transcription elongation factor ELL functions as part of a rudimentary super elongation complex	Research article	no	yes	yes	yes	GEO		no	no	no								6	Female	Professor	Other	Postdoc	Postdoc	Other
PMC6379650	2018	Nucleic_Acids_Res	11.2	NMR solution structure of an asymmetric intermolecular leaped V-shape G-quadruplex: selective recognition of the d(G2NG3NG4) sequence motif by a short linear G-rich DNA probe	Research article	no	yes	yes	yes	other	Protein Data Bank	no	no	no								15	Male	Professor	Other	Phd		
PMC6125643	2018	Nucleic_Acids_Res	11.2	"Development of the variant calling algorithm, ADIScan, and its use to estimate discordant sequences between monozygotic twins"	Research article	no	yes	no	no	other	Korea National Institute of Health	yes	no (Link expired)	no								6	Male	CEO	Bioinformatics	Phd	MD	Other
PMC5048069	2016	Bioinformatics	7.3	PEP_scaffolder: using (homologous) proteins to scaffold genomes	Research article	no	no	no	no			yes	no (Link Expired)	no		no						11		Assistant Professor				
PMC6660700	2019	Genome_Med	11	A clinical survey of mosaic single nucleotide variants in disease-causing genes detected by exome sequencing	Research article	no	yes	no (Patient family consent)	no			no	no	no							no	35	Male	Professor	"Other,Genetics"	"MD,Postdoc"	Phd	Other
PMC6489363	2019	Genome_Biol	9.5	Measuring sequencer size bias using REcount: a novel method for highly accurate Illumina sequencing-based quantification	Research article	no	yes	yes	yes	SRA		yes	yes	yes		Package	Zenodo	no			yes	56	Male	Director of Reseach	Other	Phd	Phd	Other
PMC6816165	2019	Genome_Biol	9.5	RaGOO: fast and accurate reference-guided scaffolding of draft genomes	Research article	no	yes	yes	yes	SRA		yes	yes	yes		Package	GitHub	no			yes	59	Male	Professor	CS	Phd	Phd 	CS
PMC6954335	2019	Nat_Biotechnol	37	In situ readout of DNA barcodes and single base edits facilitated by in vitro transcription	Research article	no	yes	yes	yes	other	caltech.edu	yes	yes	yes		software		no			no	70	Male	Professor	Other	Phd	Postdoc	Other
PMC6587591	2019	Nat_Biotechnol	37	Capturing sequence diversity in metagenomes with comprehensive and scalable probe design	Research article	no	yes	yes	yes	SRA		yes	yes	yes		Package	GitHub	no			yes	75	Male	Director	Other	Postdoc	Phd	CS
PMC6956735	2019	Nat_Biotechnol	37	A community effort to create standards for evaluating tumor subclonal reconstruction	Research article	no	yes	yes	yes	other	EGA	yes	yes	yes		Package	GitHub	no			yes	53	Male	Professor	Other	Phd	Phd	Other
PMC6893138	2019	Nat_Biotechnol	37	High-throughput sequencing of the transcriptome and chromatin accessibility in the same cell	Research article	no	yes	yes	yes	GSE		yes	yes	yes		Package	GitHub	no			yes	19	Male	Professor	Other	Phd	Postdoc	Other
PMC6756480	2019	Nat_Genet	28	A pooled single-cell genetic screen identifies regulatory checkpoints in the continuum of the epithelial-to-mesenchymal transition	Research article	no	yes	yes	yes	GSE		yes	yes	yes		Package	GitHub	no			yes	64	Male	Associate Professor	CS	Postdoc	Phd	Other
PMC6755913	2019	Nat_Genet	28	The ATPase module of mammalian SWI/SNF family complexes mediates subcomplex identity and catalytic activity-independent genomic targeting	Research article	no	yes	yes	yes	GSE		yes	yes	yes		Package	GitHub	no			yes	39	Female	Associate Professor	Other	Phd	Postdoc	"Other, Genetics"
PMC7451045	2019	Nat_Genet	28	Neuronal impact of patient-specific aberrant NRXN1α splicing	Research article	no	yes	yes	yes	"SRA,GEO"		yes	yes	yes		Package	GitHub	no			yes	83	Female	Professor	Other	Phd	Phd	Other
PMC6949130	2019	Nat_Methods	31	DIA-NN: Neural networks and interference correction enable deep proteome coverage in high throughput	Research article	no	yes	yes	yes	other	PRIDE	yes	yes	yes		Software	GitHub	no			yes	32	Male	Professor	"Other, Genetics"	Phd		
PMC7004891	2019	Nat_Methods	31	An adaptive excitation source for high speed multiphoton microscopy	Research article	no	yes	Available upon request	upon request			yes	yes	yes		Matlab	GitHub	no			no	21	Male	Professor	Other	Phd	Postdoc	CS
PMC6675608	2019	Nat_Methods	31	Gene expression atlas of a developing tissue by single cell expression correlation analysis	Research article	no	yes	yes	yes	GSE		yes	yes	yes		software	GitHub	yes	Rmd	single	yes	32	Male	Professor	Other	Postdoc	Phd	Other
PMC7038986	2019	Nucleic_Acids_Res	11.5	Disentangling sRNA-Seq data to study RNA communication between species	Research article	no	yes	yes	yes	GEO		no	yes	yes		pipeline	GitHub	yes	Rmd	single	no	66	Male	Assistant Professor	Other	Phd	Phd	Other
PMC7718714	2020	BMC_Bioinformatics	3.5	Regional registration of whole slide image stacks containing major histological artifacts	Research article	no	yes	no	no			yes	yes	yes		Pipeline	GitHub	no			partial	28	Male	Head of Division	Other	Phd	Phd	CS
PMC6979394	2020	Genome_Biol	11.7	CUBIC: an atlas of genetic architecture promises directed maize improvement	Research article	no	yes	yes	yes	SRA		no	yes	yes		Package	GitHub	no			no	82	Male	Professor	"Other, Genetics"	Phd	Phd	Other
PMC7523332	2020	Genome_Med	11.1	Single-cell transcriptome analysis of tumor and stromal compartments of pancreatic ductal adenocarcinoma primary tumors and metastatic lesions	Research article	no	yes	yes	yes	GEO		yes	yes	yes		Package	GitHub	no			no	44	Male	Assistant Professor	Other	Phd	Phd	Other
PMC7036260	2020	Genome_Med	11.1	Cell-free DNA analysis reveals POLR1D-mediated resistance to bevacizumab in colorectal cancer	Research article	no	yes	yes	yes	GEO		yes	yes	yes		Analytical	GitHub	no			yes	78	Male	Professor	"CS,Genetics"	"MD,Postdoc"		
PMC7708171	2020	Genome_Med	11.1	Whole blood co-expression modules associate with metabolic traits and type 2 diabetes: an IMI-DIRECT study	Research article	no	yes	Available upon request	upon request			no	yes	yes		Package	GitHub	yes	Rmd	multiple	no	63	Male	Head of Research	Computational Biology	Phd	Phd	Other
PMC7416462	2020	Nat_Biotechnol	55	Combinatorial single-cell CRISPR screens by direct guide RNA capture and targeted sequencing	Research article	no	yes	yes	yes	GEO		yes	yes	yes		Analytical	10xGenomics	yes	notebook	multiple	yes	64	Female	Assistant Professor	"Other, Genetics"	Phd	Phd	"Other, Genetics"
PMC7541396	2020	Nat_Biotechnol	55	Analyzing the M. tuberculosis immune response by T cell receptor clustering with GLIPH2 and genome-wide antigen screening	Research article	no	yes	no	no			yes	yes	yes		software	downloadable file	uncertain	uncertain	uncertain	no	65	Male	Professor	Other 	Phd	Phd	"Other, Biotechnology"
PMC7855056	2020	Nat_Biotechnol	55	A long-term study of AAV gene therapy in hemophilia A dogs identifies clonal expansions of transduced liver cells	Research article	no	yes	yes	yes	"SRA,other"	Zenodo	yes	yes	yes		uncertain	Zenodo	no			yes	42	Female	Assistant Professor	"Other, Genetics"	Phd	B.S	Other
PMC7610456	2020	Nat_Genet	38.3	The mutational signature profile of known and suspected human carcinogens in mice	Research article	no	yes	yes	yes	other	ENA	yes	yes	yes		Analytical	GitHub	no			yes	23	Male	Senior Group Leader	Other 	Phd	Phd	Other
PMC7808397	2020	Nat_Genet	38.3	Genome-wide association study identifies 32 novel breast cancer susceptibility loci from overall and subtype-specific analyses	Research article	no	yes	Available upon request	upon request			yes	yes	yes		Package	GitHub	no			yes	66	Female	Principal Investigator	Other	"MD, Phd"	Postdoc	"Other, Biostatistics"
PMC7343625	2020	Nat_Genet	38.3	Multi-cancer analysis of clonality and the timing of systemic spread in paired primary tumors and metastases	Research article	no	yes	yes	yes	other	European Genotype Phenotype Archive	yes	yes	yes		Analytical	GitHub	no			yes	70	Female	Associate Professor	Bioinformatics	Phd		
PMC7796998	2020	Nat_Genet	38.3	Genetic screening for single-cell variability modulators driving therapy resistance	Research article	no	yes	yes	yes	GEO		yes	yes	yes		Package	GitHub	no			yes	16	Male	Professor	Other	Phd	"MD, Phd"	Other
PMC7138649	2020	Nat_Genet	38.3	Three-dimensional chromatin landscapes in T cell acute lymphoblastic leukemia	Research article	no	yes	yes	yes	GEO		yes	yes	yes		pipeline	GitHub	no			yes	39	Male	Professor	"CS, Bioinformatics"	Postdoc	Phd	"CS,Bioinformatics"
PMC7192636	2020	Nat_Methods	28.6	Rapid mesoscale volumetric imaging of neural activity with synaptic resolution	Research article	no	yes	Available upon request	upon request			yes	yes	yes		Matlab scripts	Supplementary	no			yes	47	Female	Associate Professor	Other	Postdoc	Phd	Other
PMC7541687	2020	Nat_Methods	28.6	Detecting chromatin interactions between and along sister chromatids with SisterC	Research article	no	yes	yes	yes	GEO		yes	yes	yes		pipeline	GitHub	no			no	6	Male	Professor	Other	Phd	Phd	Other
PMC7357298	2020	Nat_Methods	28.6	Pooled CRISPR screens with imaging on microRaft arrays reveals stress granule-regulatory factors	Research article	no	yes	yes	yes	GEO		yes	yes	yes		Analytical	GitHub	yes	notebook	multiple	no	19	Male	Professor	Computational Neuroscience	"Phd,MBA"	Phd	Other
PMC7544197	2020	Nucleic_Acids_Res	17	Unbiased investigation of specificities of prime editing systems in human cells	Research article	no	yes	yes	yes	SRA		yes	yes	yes		Package	GitHub	no			yes	47	Male	Head	Other	Phd	Phd	Other
PMC7945310	2021	Genome_Biol	15.1	Identification of pathogenic variants in cancer genes using base editing screens with editing efficiency correction	Research article	no	yes	yes	yes	SRA		yes	yes	yes		Package	Zenodo	no			yes	4	Male	Professor	"Other, Genetics"	Postdoc	Phd	Other
PMC8273981	2021	Genome_Biol	15.1	Telomere-to-telomere assembly of a fish Y chromosome reveals the origin of a young sex chromosome pair	Research article	no	yes	yes	yes	SRA		yes	yes	yes		Shell Script	GitHub	no			yes	3	Male	Postdoc Reseacher	"Other, Genetics"	Phd	Phd	Other
PMC7798263	2021	Genome_Biol	15.1	Uncovering deeply conserved motif combinations in rapidly evolving noncoding sequences	Research article	no	yes	yes	yes	Other	PRIDE	yes	yes	yes		Package	GitHub	no			yes	3	Male	Associate Professor	CS	Postdoc	Postdoc	Bioinformatics
PMC8375061	2021	Genome_Med	12	Multi-omics of the esophageal microenvironment identifies signatures associated with progression of Barrett’s esophagus	Research article	no	yes	yes	yes	other	ENA	yes	yes	yes		Analytical	Zenodo	no			yes	1	Male	Associate Professor			Phd	Bioinformatics
PMC8438989	2021	Genome_Med	12	Whole-genome sequence-informed MALDI-TOF MS diagnostics reveal importance of Klebsiella oxytoca group in invasive infections: a retrospective clinical study	Research article	no	yes	yes	yes	Other	Genebank	yes	yes	yes		Package	GitHub	no			yes	0	Male	Head of Divison	Other	Postdoc	Phd	Other
PMC8011839	2021	Nat_Genet	41.3	Characterizing the molecular regulation of inhibitory immune checkpoints with multi-modal single-cell screens.	Research article	no	yes	yes	yes	GEO		yes	yes	yes		Package	GitHub	no			no	18	Male	Professor	Other	Postdoc	Phd	Other
PMC8038968	2021	Nat_Genet	41.3	Human-chimpanzee fused cells reveal cis-regulatory divergence underlying skeletal evolution	Research article	no	yes	yes	yes	GEO		yes	yes	yes		Package	GitHub	no			yes	6	Male	Assistant Professor	Other	Phd	Postdoc	Other
PMC7610396	2021	Nat_Genet	41.3	A Unique Bipartite Polycomb Signature Regulates Stimulus-Response Transcription during Development	Research article	no	yes	yes	yes	other	ArrayExpress	yes	yes	yes		Package	GitHub	no			yes	3	Male	Professor	Other	Postdoc		
PMC7946813	2021	Nat_Genet	41.3	Liquid chromatin Hi-C characterizes compartment-dependent chromatin interaction dynamics	Research article	no	yes	yes	yes	GEO		yes	yes	yes		Package	GitHub	no			yes	15	Male	Professor	Other	Phd	Phd	"Other, Biomedical Science"
PMC8148035	2021	Nat_Genet	41.3	Trans-ancestry genome-wide association meta-analysis of prostate cancer identifies new susceptibility loci and informs genetic risk prediction	Research article	no	yes	yes	yes	other	dbgap	yes	yes	yes		Analytical	GitHub	no			yes	44	Male	Co-Leader	Other	ScD	Phd	"Other,Genetics"
PMC7944648	2021	Nat_Genet	41.3	Identification of rare and common regulatory variants in pluripotent cells using population-scale transcriptomics	Research article	no	yes	yes	yes	SRA	"dbgap,ENA"	yes	yes	yes		Analytical	GitHub	no			yes	11	Male	Head	Other	Postdoc	Postdoc	Bioinformatics
PMC7611018	2021	Nat_Methods	48	Multi-particle cryo-EM refinement with M visualizes ribosome-antibiotic complex at 3.5 Å in cells	Research article	no	yes	yes	yes	other	EMDB	yes	yes	yes		Software	GitHub	no			yes	39	Female	Group Leader	Other	Postdoc	Postdoc	CS
PMC8107123	2021	Nat_Methods	48	Real-time volumetric reconstruction of biological dynamics with light-field microscopy and deep learning	Research article	no	yes	yes	yes	other	zenodo	yes	yes	yes		Pipeline	GitHub	yes	notebook	multiple	no	16	Male	Professor	Other	Postdoc	Phd	Other
PMC7954905	2021	Nat_Methods	48	Joint profiling of histone modifications and transcriptome in single cells from mouse brain	Research article	no	yes	yes	yes	GEO		yes	yes	yes		Pipeline	GitHub	no			yes	20	Male	Professor	Other	Phd	Phd	Other
PMC7954949	2021	Nat_Methods	48	Joint probabilistic modeling of single-cell multi-omic data with totalVI	Research article	no	yes	yes	yes	GEO		yes	yes	yes		Analytical	GitHub	yes	notebook	multiple	yes	31	Male	Associate Professor	Other	Phd	Phd	CS
PMC8272231	2021	Nat_Methods	48	Dual DNA and protein tagging of open chromatin unveils dynamics of epigenomic landscapes in leukemia	Research article	no	yes	yes	yes	GSE	PRIDE	yes	yes	yes		Package	GitHub	yes	Rmd	multiple	yes	2	Male	Professor	"Other, Genetics"	"MD, Phd"	Postdoc	Other
PMC5059998	2016	Genome_Biol	11.2	Recurrent evolution of heat-responsiveness in Brassicaceae COPIA elements	Research article	no	yes	yes	yes	GEO		yes	yes	yes	Protocol		GitHub		no			61	Male	Associate Professor	Other 	Phd	Phd	Other
PMC5032245	2016	Genome_Biol	11.2	Age-related accrual of methylomic variability is linked to fundamental ageing mechanisms	Research article	no	yes	yes	yes	other	EGA	no	yes	yes	Package		GitHub		yes	Rmd	multiple	92	Male	Professor	Other	PostDoc	Phd	Other
PMC5143225	2016	Nat_Biotechnol	42	Modeling of RNA-seq fragment sequence bias reduces systematic errors in transcript abundance estimation	Research article	no	no	no	no			no	yes	yes	Pipeline		GitHub		yes	Rmd	Single	127	Male	Professor	Other	Phd	Phd	Computational Biology
PMC5125825	2016	Nat_Biotechnol	42	Genome-scale high-resolution mapping of activating and repressive nucleotides in regulatory regions	Research article	no	no	yes	yes	other	GSE	no	yes	yes	Pipeline		GitHub		no			118	Male	Professor	CS	Phd	Phd	CS
PMC5101133	2016	Nat_Biotechnol	42	Mitochondrial protein functions elucidated by multi-omic mass spectrometry profiling	Research article	no	no	yes	yes	other	Excel Sheets	no	yes	yes	Analytical		GitHub		no			100	Male	Professor	Other	PostDoc	MD	Other
PMC5423094	2016	Nat_Methods	25	RESA identifies mRNA regulatory sequences with high resolution	Research article	no	yes	yes	yes	other	SRP	no	yes	yes	Pipeline		GitHub		no			37	Male	Professor	Other	PostDoc	Phd	Other Genetics
PMC5330809	2016	Nat_Methods	25	Massively multiplex single-cell Hi-C	Research article	no	yes	yes	yes	GEO		no	yes	yes	Analytical		GitHub		no			421	Male	Professor	Other-Genetics	MD-Phd	Phd	Other
PMC4772672	2016	Nat_Methods	25	Characterizing transcriptional heterogeneity through pathway and gene set overdispersion analysis	Research article	no	yes	yes	yes	GEO		no	yes	yes	Package		GitHub		yes	Rmd	Multiple	323	Male	Associate Professor	Other Computational Biology and Genomics	PostDoc	PostDoc	Bioinformatics
PMC5745977	2017	BMC_Bioinformatics	2.6	"A comparison of genotyping-by-sequencing analysis methods on low-coverage crop datasets shows advantages of a new workflow, GB-eaSy"	Research article	no	yes	yes	yes	other	GB-eaSy pipeline	yes	yes	yes	Pipeline		GitHub		no			51	Male	Professor	Other 	Phd	Phd	Bioinformatics
PMC5366155	2017	Genome_Biol	11.6	MeDeCom: discovery and quantification of latent components of heterogeneous methylomes	Research article	no	yes	yes	yes	GEO		yes	yes	yes	Package		GitHub		yes	Rmd	Single	72	Male	Professor		Postdoc		
PMC5709945	2017	Genome_Biol	11.6	OMSV enables accurate and comprehensive identification of large structural variations from nanochannel-based single-molecule optical maps	Research article	no	yes	yes	yes	other	Zenodo	yes	yes	yes	Pipeline		GitHub		no			28	Male	Professor	CS	Postdoc		
PMC5473967	2017	Genome_Biol	11.6	Translational contributions to tissue specificity in rhythmic and constitutive gene expression	Research article	no	yes	yes	yes	GEO		yes	yes	yes	Analytical		GitHub		no			43	Male	Associate Professor	Other	Postdoc	Phd	Other
PMC5260019	2017	Genome_Med	9	"Genetic relatedness analysis reveals the cotransmission of genetically related Plasmodium falciparum parasites in Thiès, Senegal"	Research article	no	yes	yes	yes	other	CBI Sequence Read Archive repository	yes	yes	yes	Pipeline		GitHub		no			36	Female	Professor	Other	Phd	Phd	Other
PMC5800952	2017	Nat_Biotechnol	36	Orthologous CRISPR-Cas9 enzymes for Combinatorial Genetic Screens	Research article	no	yes	yes	yes	other	zip file	yes	yes	yes	Pipeline		GitHub		no			201	Male	Director of Research	Other	Phd	Phd	Other 
PMC5334791	2017	Nat_Methods	27	Pooled CRISPR screening with single-cell transcriptome read-out	Research article	no	yes	yes	yes	other	gb file	yes	yes	yes	Analytical		"GitHub, Supplementary"		no			557	Male	Professor	Bioinformatics	Postdoc	Phd	Other
PMC5766199	2017	Nucleic_Acids_Res	11.6	CLIP-seq analysis of multi-mapped reads discovers novel functional RNA regulatory sites in the human transcriptome	Research article	no	no	no	no			no	yes	yes	Pipeline		GitHub		no			37	Male	Professor	Bioinformatics	Postdoc	Phd	Bioinformatics
PMC5984373	2018	Genome_Biol	12	UMI-count modeling and differential expression analysis for single-cell RNA sequencing	Research article	no	yes	yes	yes	GEO		yes	yes	yes	Pipeline		Other (Bitbucket)		yes	Rmd	Single	63	Male	Assistant Member	Other Computational Biology	Postdoc	Postdoc	CS
PMC5872584	2018	Genome_Med	11	Elevated polygenic burden for autism is associated with differential DNA methylation at birth	Research article	no	yes	no (Available upon request)	upon request			yes	yes	yes	Analytical		GitHub		no			77	Male	Professor	"Other, Genetics"	Postdoc	Phd	"Other, Genetics"
PMC6488461	2018	Nat_Biotechnol	32	Identification of spatially associated subpopulations by combining scRNA-seq and sequential fluorescence in situ hybridization data 	Research article	no	no	yes	yes	GEO		no	yes	yes	Tool		Bitbucket		no			141	Male	Professor	Other	Postdoc	Phd	Other
PMC6380887	2018	Nat_Methods	28.5	Inferring single-trial neural population dynamics using sequential auto-encoders	Research article	no	yes	no (Available upon request)	upon request			yes	yes	yes	Pipeline		GitHub		no			353	Male	Adjunt Professor	"Other, Computational Neuroscience"	Postdoc	Postdoc	Other
PMC5990454	2018	Nat_Methods	28.5	Picky Comprehensively Detects High Resolution Structural Variants in Nanopore Long Reads	Research article	no	yes	yes	yes	SRA		yes	yes	yes	Pipeline		GitHub		no			66	Female	Professor	Other	Postdoc	Postdoc	"Other, Genetics"
PMC6152898	2018	Nat_Methods	28.5	Improved Ribo-seq enables identification of cryptic translation events	Research article	no	yes	yes	yes	other	PXD	yes	yes	yes	Pipeline		GitHub					100	Male					
PMC5254078	2016	Bioinformatics	7.3	FoldAtlas: a repository for genome-wide RNA structure probing data	Research article	no	yes	yes	yes	SRA		yes	yes	yes	Pipeline/Software code/Tool	no	GitHub		no			13	Female	Group Leader	Other 	PostDoc		
PMC6661746	2019	Genome_Med	11	Molecular and pharmacological modulators of the tumor immune contexture revealed by deconvolution of RNA-seq data	Research article	no	yes	yes	yes	Geo		yes	yes	yes		Pipeline	Other (Website)	no			no	66	Male	Professor	"Other,Biomedical Engineering"	Phd	Postdoc	Bioinformatics
PMC6612848	2019	Bioinformatics	5.6	Large-scale mammalian genome rearrangements coincide with chromatin interactions	Research article	yes	no					yes	no (No access on BitBucket)	no		pipeline	BitBucket	no			no	56	Male	Professor	CS	Postdoc	Postdoc	CS
PMC6937815	2019	BMC_Bioinformatics	3.8	Benchmarking the PEPOP methods for mimicking discontinuous epitopes	Research article	yes	yes					no	no	no		no	no	no			no	62	Female	Deputy Director	Other	Phd		
PMC6886252	2019	BMC_Bioinformatics	3.8	Liver tumor segmentation in CT volumes using an adversarial densely connected network	Research article	yes	yes					no	no	no		no	no	no			no	33	Male	Professor	CS	Phd	Phd	CS
PMC6821021	2019	BMC_Bioinformatics	3.8	Predicting protein inter-residue contacts using composite likelihood maximization and deep learning	Research article	yes	yes					yes	no (link does Not work)	no		no	no	no			no	59	Male 	Associate Professor	CS	Phd	Postdoc	CS
PMC6929343	2019	BMC_Bioinformatics	3.8	An automated 3D modeling pipeline for constructing 3D models of MONOGENEAN HARDPART using machine learning techniques	Research article	yes	yes					no	no	no		no	no	no			no	36	Female	Associate Professor	"CS, Bioinformatics"	Phd	Phd	Bioinformatics
PMC6557762	2019	BMC_Bioinformatics	3.8	A new fruit fly optimization algorithm enhanced support vector machine for diagnosis of breast cancer based on high-level features	Research article	yes	yes					no	no	no		no	no	no			no	49	Male	Associate Chief Physician	Other	MD		
PMC6528302	2019	BMC_Bioinformatics	3.8	Weekly ILI patient ratio change prediction using news articles with support vector machine	Research article	yes	yes					no	no	no		no	no	no			no	19	Female	Team Leader	"Other, Biotechnology"	Phd		
PMC6827178	2019	BMC_Bioinformatics	3.8	Predictive modelling using pathway scores: robustness and significance of pathway collections	Research article	yes	yes					no	no	no		no	no	no			no	25	Male	Professor	Other	Postdoc		
PMC6463664	2019	Genome_Biol	9.5	Analysis of the recombination landscape of hexaploid bread wheat reveals genes controlling recombination and gene conversion frequency	Research article	yes	yes					no	no	no		no	no	no			no	54	Male	Professor	Other	Phd	Phd	Bioinformatics
PMC6631995	2019	Genome_Biol	9.5	"Stable enhancers are active in development, and fragile enhancers are associated with evolutionary adaptation"	Research article	yes	yes					no	no	no		no	no	no			no	54	Male	Senior Investigator	Computational Biology	Phd	Phd	"Other,Information Technology"
PMC6698742	2019	Nucleic_Acids_Res	11.5	Mapping of scaffold/matrix attachment regions in human genome: a data mining exercise	Research article	yes	no					no	no	no		no	no	no			no	80	Male	Assistant Professor	Other	MS	MS	Bioinformatics
PMC7145579	2019	Nucleic_Acids_Res	11.5	TFBSshape: an expanded motif database for DNA shape features of transcription factor binding sites	Research article	yes	no					no	no	no		no	no	no			no	37	Male	Professor	Other	Phd	Phd	Bioinformatics
PMC7646399	2020	BMC_Bioinformatics	3.5	"Developing the novel bioinformatics algorithms to systematically investigate the connections among survival time, key genes and proteins for Glioblastoma multiforme"	Research article	yes	yes					no	no	no							no	53	Male	Professor	CS	Postdoc		
PMC7367324	2020	BMC_Bioinformatics	3.5	Deep user identification model with multiple biometric data	Research article	yes	yes					no	no	no							no	14	Male	Associate Professor	"Other, Information Technology"	Phd	Phd	Other
PMC7671827	2020	BMC_Bioinformatics	3.5	Alignment of biological networks by integer linear programming: virus-host protein-protein interaction networks	Research article	yes	yes					no	no	no							no	21	Male	Professor	Bioinformatics	Phd	Phd	CS
PMC7778890	2020	Nucleic_Acids_Res	17	"RBP2GO: a comprehensive pan-species database on RNA-binding proteins, their interactions and functions"	Research article	yes	yes					no	no	no							no	53	Male	Professor	Other	Postdoc		
PMC7779005	2020	Nucleic_Acids_Res	17	DualSeqDB: the host–pathogen dual RNA sequencing database for infection processes	Research article	yes	yes					no	no	no							no	26	Male	Associate Professor	Other	Postdoc	Phd	Bioinformatics
PMC7989618	2021	Bioinformatics	6.6	COVID-19: disease pathways and gene expression changes predict methylprednisolone can improve outcome in severe cases	Research article	yes	no					no	no	no							no	13	Male	Professor	Other	"MD, Phd"	Phd	CS
PMC8052714	2021	BMC_Bioinformatics	3.4	Cancer immune control dynamics: a clinical data driven model of systemic immunity in patients with metastatic melanoma	Research article	yes	yes					no	no	no							no	0	Male	Faculty 	Other	"MD,Phd"	MD	Other
PMC8011138	2021	BMC_Bioinformatics	3.4	Six genes involved in prognosis of hepatocellular carcinoma identified by Cox hazard regression	Research article	yes	yes					no	no	no							no	2	Male	Professor			Postdoc	Other
